com.maputo@mea.gov.in,Telephone No.,+91 8095504033,70,https://expertchikitsa.com/listing/visa/mozambique/indian-medical-visa-from-mozambique-find-online-application-details-and-medical-visa-fees/
cons.maputo@mea.gov.in,Telephone No.,+91 8095504033,70,https://expertchikitsa.com/listing/visa/mozambique/indian-medical-visa-from-mozambique-find-online-application-details-and-medical-visa-fees/
amb.addisababa@mea.gov.in,"Addis Ababa, Ethiopia.",011-6362010,70,https://expertchikitsa.com/listing/visa/ethiopia/indian-medical-visa-from-ethiopia-find-medical-visa-fees-and-online-application-details/
cons.addisababa@mea.gov.in,"Consular, Passport & Visa",011-6362010,70,https://expertchikitsa.com/listing/visa/ethiopia/indian-medical-visa-from-ethiopia-find-medical-visa-fees-and-online-application-details/
pol1.addisababa@mea.gov.in,African Union,011-6362010,70,https://expertchikitsa.com/listing/visa/ethiopia/indian-medical-visa-from-ethiopia-find-medical-visa-fees-and-online-application-details/
info.abuja@mea.gov.in,Address and other Contact Details,234-7080622,70,https://expertchikitsa.com/listing/visa/nigeria/india-medical-visa-from-nigeria-find-medical-visa-cost-and-online-application-details/
visa.lagos@mea.gov.in,Address and other Contact Details,234-7080622,70,https://expertchikitsa.com/listing/visa/nigeria/india-medical-visa-from-nigeria-find-medical-visa-cost-and-online-application-details/
trade.abuja@mea.gov.in,Address and other Contact Details,234-7080622,70,https://expertchikitsa.com/listing/visa/nigeria/india-medical-visa-from-nigeria-find-medical-visa-cost-and-online-application-details/
hoc.abuja@mea.gov.in,Address and other Contact Details,234-7080622,70,https://expertchikitsa.com/listing/visa/nigeria/india-medical-visa-from-nigeria-find-medical-visa-cost-and-online-application-details/
cons.lagos@mea.gov.in,Address and other Contact Details,234-7080622,70,https://expertchikitsa.com/listing/visa/nigeria/india-medical-visa-from-nigeria-find-medical-visa-cost-and-online-application-details/
cons.abuja@mea.gov.in,Address and other Contact Details,234-7080622,70,https://expertchikitsa.com/listing/visa/nigeria/india-medical-visa-from-nigeria-find-medical-visa-cost-and-online-application-details/
cons.nairobi@mea.gov.in,India Consulate in Kenya,+91 8095504033,70,https://expertchikitsa.com/listing/visa/kenya/indian-medical-visa-from-kenya-find-medical-visa-cost-duration-and-application-details/
ahc.mombasa@mea.gov.in,India Consulate in Kenya,+91 8095504033,70,https://expertchikitsa.com/listing/visa/kenya/indian-medical-visa-from-kenya-find-medical-visa-cost-duration-and-application-details/
hoc.mombasa@mea.gov.in,India Consulate in Kenya,+91 8095504033,70,https://expertchikitsa.com/listing/visa/kenya/indian-medical-visa-from-kenya-find-medical-visa-cost-duration-and-application-details/
customercare@hjhospitals.org,Key Details,,70,https://expertchikitsa.com/listing/hospital/global/hj-hospitals-find-reviews-details-doctor-list-book-appointment/
executive@gerties.org,Key Details,,70,https://expertchikitsa.com/listing/hospital/nairobi/gertrudes-childrens-hospital-find-reviews-cost-doctors-book-appointment/
ISAPS@isaps.org,"Greece
Gianluca",,70,https://www.isaps.org/media/vdpdanke/isaps-global-survey_2021.pdf
media@isaps.org,International Society,,70,https://www.isaps.org/media/vdpdanke/isaps-global-survey_2021.pdf
laboratory@grandhantha.com,Hotline & Viber :,,65,https://grandhantha.com/fully-automated-laboratory/
admn.addisababa@mea.gov.in,"Addis Ababa, Ethiopia.",011-6362010,65,https://expertchikitsa.com/listing/visa/ethiopia/indian-medical-visa-from-ethiopia-find-medical-visa-fees-and-online-application-details/
